class,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fizzles,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,6471,12416,94,94,188,1.9187142636377683,1.0,305557.818,132.08510638297872,68.84042553191489,19401.632653061224,225.90234375,116.0,49.0,1.084,120740.1647586207,152189.382,0,0,1.0,0.0734874452799402,-2,1,-1
True,6001,1791,15,13,28,0.2984502582902849,1.1538461538461535,355.242,119.4,461.61538461538464,30049.84,372488.9795918367,187.0,989.0,48.120000000000005,92.546,259.32,0,0,1.0,0.0,-2,1,1
True,5007,1086,9,6,15,0.2168963451168364,1.5,744.784,120.66666666666669,834.5,44944.0,3210041.555555556,305.0,317.0,51.538,67.6285,108.736,0,0,1.0,0.0,0,0,0
False,964088,6552,80,110,190,0.0067960601106952,0.7272727272727273,13159.578,81.9,8764.436363636363,20850.0,22402761.2544,334.0,2896.0,597.75,1918.0095862068963,2720.696,0,0,1.0,0.382234360089011,-4,-7,-9
False,5306,1372,11,7,18,0.258575197889182,1.5714285714285714,469.5,124.72727272727272,758.0,37528.5,3567621.5555555555,125.5,608.0,58.128,308.61333333333334,377.2480000000001,0,0,1.0,-0.08032004727303,0,1,0
False,1360919,30479,323,1037,1360,0.0223958957145869,0.3114754098360656,19160.024,94.36222910216718,1312.3616200578592,41641.04,150317.47840000002,126.0,1460.0,218.452,1168.6293793103448,1738.468,0,0,1.1,0.0,-2,-9,-9
False,2494780,33449,596,1871,2467,0.0134075950584821,0.3185462319615179,1313.3560000000002,56.12248322147651,1333.393907001603,33031.13888888888,261412.83159722225,86.0,1046.0,4.732,49.14772413793103,76.0,0,0,1.0,0.0,-2,-5,-9
False,3594,853,7,5,12,0.2373400111296605,1.4,167.05,121.85714285714286,718.8,0.0,46225.0,517.0,1663.0,68.256,68.345,68.434,0,0,1.0,0.0,0,0,0
True,150699,52432,478,400,878,0.3479253346073962,1.195,6363.992,109.69037656903764,376.7475,16030.670360110804,294749.52066115703,75.0,498.0,36.74,929.8719999999996,1773.294,0,0,1.0,0.0,2,-5,9
False,1105,690,6,4,10,0.6244343891402715,1.5,4277.082,115.0,276.25,0.0,0.0,370.0,889.0,8.030000000000001,8.030000000000001,8.030000000000001,0,0,1.0,0.0,0,0,0
False,21492,6051,18,22,40,0.2815466219988833,0.8181818181818182,18973.206,336.1666666666667,976.9090909090908,61727.359375,235493.6398891967,730.0,1460.0,372.838,1261.3253076923077,2524.676,0,0,1.0,0.4490350880504669,-3,-4,-2
True,48976,44589,381,305,686,0.9104255145377328,1.2491803278688525,4531.436000000001,117.03149606299212,160.57704918032786,11188.63038548753,1214258.987654321,91.0,193.0,39.948,1510.88524137931,2206.838,0,0,1.0,0.352486104419022,4,5,1
False,5000,1419,12,8,20,0.2838,1.5,312.108,118.25,625.0,35057.1875,2936738.1600000006,143.5,46.0,70.542,147.8315,229.158,0,0,1.0,0.8489240504534674,1,0,-2
True,2951,1794,33,33,66,0.6079295154185022,1.0,306343.582,54.36363636363637,89.42424242424242,202.44444444444449,19447.09,61.0,127.5,42.792,111608.56188888889,291276.862,0,0,1.0,0.9956984655557548,0,1,-2
False,1015,691,6,4,10,0.6807881773399015,1.5,6308.947999999999,115.16666666666669,253.75,0.0,0.0,371.0,799.0,18.464,18.464,18.464,0,0,1.0,0.0,0,0,0
True,8015,1981,19,23,42,0.2471615720524017,0.8260869565217391,19362.458,104.26315789473684,348.4782608695652,21211.984375,286136.1301775148,106.0,559.0,49.602,1496.9937000000002,6942.152,0,0,1.0,0.0,-1,-2,-2
True,6305,1587,15,13,28,0.2517049960348929,1.1538461538461535,101.078,105.8,485.0,35057.1875,354240.28571428574,143.5,1144.0,22.104,37.7032,56.968,0,0,1.0,0.0,-1,0,-2
False,145515,8777,66,126,192,0.0603168058275779,0.5238095238095238,16525.18,132.9848484848485,1154.8809523809523,234261.25,172793.95061728393,34.0,1350.0,23.354,87.3351724137931,127.09799999999998,0,0,1.0,0.0,0,-5,-1
False,12062,714,10,10,20,0.059194163488642,1.0,19.754,71.4,1206.2,0.0,1169805.5555555555,294.0,2172.5,12.656,13.001333333333337,13.284,0,0,1.0,0.0,0,-1,-2
False,106748,3153,39,43,82,0.0295368531494735,0.9069767441860463,2563.3720000000003,80.84615384615384,2482.5116279069766,26029.22222222223,8987587.743055554,134.5,2760.0,47.56,467.59282758620685,1029.844,0,0,1.0,0.0,0,-7,-9
True,5326,1320,10,10,20,0.2478407810739767,1.0,1076.568,132.0,532.6,37528.5,1385474.75,125.5,928.0,37.984,715.3437142857141,1001.024,0,0,1.0,0.9663789357889492,0,1,-1
False,19030,2287,14,21,35,0.1201786652653704,0.6666666666666666,507.864,163.35714285714286,906.190476190476,60481.583333333336,309504.234375,224.5,1448.0,0.42,268.4789523809524,431.072,0,0,1.0,0.0,3,-4,-7
False,4943,1296,10,6,16,0.2621889540764718,1.6666666666666667,118.346,129.6,823.8333333333334,37528.5,4467220.666666667,125.5,62.0,35.934,58.989666666666665,72.786,0,0,1.0,0.9693634235961184,0,1,0
False,124361,6835,79,78,157,0.0549609604297167,1.0128205128205128,3228.3099999999995,86.51898734177215,1594.371794871795,32585.289940828403,1117265.757785467,133.0,2856.0,93.01,219.52503448275868,353.094,0,0,1.0,0.0,4,1,-9
True,8950,2597,24,27,51,0.2901675977653631,0.8888888888888888,20276.910000000003,108.20833333333331,331.48148148148147,15446.409722222228,264860.91555555555,106.0,580.0,51.054,3249.259692307692,7444.724,0,0,1.0,0.0,1,-2,-2
False,4414,1659,12,7,19,0.3758495695514273,1.7142857142857142,6435.219999999999,138.25,630.5714285714286,37526.1875,1936852.25,251.5,309.5,391.74,3282.589428571428,6041.771999999999,0,0,1.0,0.3190365435161023,0,-1,-1
False,12404,4520,29,30,59,0.36439858110287,0.9666666666666668,18971.582,155.86206896551724,413.4666666666666,61094.40972222223,332105.5555555556,112.5,266.0,75.122,916.7501379310344,3620.122,0,0,1.0,0.0,-2,-3,-1
False,38225,4660,42,53,95,0.1219097449313276,0.7924528301886793,7955.86,110.95238095238096,721.2264150943396,27758.098765432103,1323789.7687074828,170.0,1418.0,230.182,1216.7191034482755,3960.204,0,0,1.0,0.0,2,-7,-5
True,3178,837,6,4,10,0.263373190685966,1.5,1484.592,139.5,794.5,0.0,2002225.0,517.0,1481.0,40.05,40.09,40.13,0,0,1.0,0.0,0,0,0
